City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,dunmore town,BS,25.5,-76.65,81.81,80,33,10.83,scattered clouds
128,vila velha,BR,-20.3297,-40.2925,69.75,91,100,6.91,overcast clouds
129,cape town,ZA,-33.9258,18.4232,61.21,85,75,21.85,light rain
130,raudeberg,NO,61.9875,5.1352,49.96,91,100,19.71,overcast clouds
131,kavieng,PG,-2.5744,150.7967,83.01,75,83,13.27,light rain
132,bengkulu,ID,-3.8004,102.2655,76.33,83,100,4.12,overcast clouds
133,pevek,RU,69.7008,170.3133,38.62,64,70,8.95,broken clouds
134,rio gallegos,AR,-51.6226,-69.2181,46.45,71,0,2.3,clear sky
135,cozumel,MX,20.5083,-86.9458,84.94,78,75,8.99,broken clouds
136,adeje,ES,28.1227,-16.726,72.01,82,75,5.75,broken clouds
137,tulsipur,NP,28.131,82.2973,78.62,52,4,4.65,clear sky
138,fort nelson,CA,58.8053,-122.7002,69.39,23,40,6.91,scattered clouds
139,palmer,US,42.1584,-72.3287,70.41,75,100,5.75,overcast clouds
140,buin,CL,-33.7333,-70.75,62.74,52,5,1.01,clear sky
141,caravelas,BR,-17.7125,-39.2481,72.5,90,97,4.65,overcast clouds
142,klaksvik,FO,62.2266,-6.589,47.32,96,96,14.27,overcast clouds
143,marsh harbour,BS,26.5412,-77.0636,81.91,80,87,10.16,overcast clouds
144,cockburn town,TC,21.4612,-71.1419,82.36,74,40,14.97,scattered clouds
145,penzance,GB,50.1186,-5.5371,52.48,79,4,16.2,clear sky
146,noyabrsk,RU,63.1994,75.4507,59.0,86,99,3.22,overcast clouds
147,perg,AT,48.25,14.6333,62.74,86,6,2.59,clear sky
148,liboro,PH,13.8245,122.7295,82.85,80,100,2.3,overcast clouds
149,tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,9.22,mist
150,penhold,CA,52.1334,-113.8687,62.4,59,0,11.5,clear sky
151,saint-joseph,RE,-21.3667,55.6167,68.38,86,53,14.38,light rain
152,korla,CN,41.7597,86.1469,82.04,13,16,9.28,few clouds
153,kampong thum,KH,12.7111,104.8887,78.8,88,100,4.29,overcast clouds
154,muros,ES,42.7762,-9.0603,68.16,73,50,14.23,scattered clouds
155,saryg-sep,RU,51.5,95.6,66.33,43,88,1.68,overcast clouds
