City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Robore,BO,2022-06-07 20:17:26,-18.3333,-59.75,84.29,65,20,0.0
97,Totness,SR,2022-06-07 20:17:27,5.8833,-56.3167,79.14,82,79,12.1
98,Thompson,CA,2022-06-07 20:15:11,55.7435,-97.8558,69.3,22,92,3.62
99,Kahama,TZ,2022-06-07 20:17:27,-3.8333,32.6,63.97,64,32,4.76
100,Lagoa,PT,2022-06-07 20:17:28,39.05,-27.9833,64.74,94,100,19.62
101,Qaanaaq,GL,2022-06-07 20:17:28,77.484,-69.3632,31.15,87,84,3.18
102,Saint Augustine,US,2022-06-07 20:14:31,29.8947,-81.3145,92.14,72,0,11.5
103,Inirida,CO,2022-06-07 20:17:28,3.8653,-67.9239,83.79,78,41,2.82
104,Miles City,US,2022-06-07 20:17:29,46.4083,-105.8406,61.77,77,75,5.75
105,Fort Nelson,CA,2022-06-07 20:12:49,58.8053,-122.7002,72.19,37,94,4.68
106,Galle,LK,2022-06-07 20:17:29,6.0367,80.217,78.82,85,100,11.25
107,Iqaluit,CA,2022-06-07 20:17:30,63.7506,-68.5145,55.13,50,40,16.11
108,Shakawe,BW,2022-06-07 20:17:30,-18.3667,21.85,53.58,47,0,6.17
109,Tezu,IN,2022-06-07 20:17:31,27.9167,96.1667,77.5,81,100,2.64
110,Balykshi,KZ,2022-06-07 20:17:31,47.0667,51.8667,62.6,45,0,8.95
111,Upernavik,GL,2022-06-07 20:17:31,72.7868,-56.1549,33.15,76,51,4.74
112,Hithadhoo,MV,2022-06-07 20:17:32,-0.6,73.0833,82.78,68,100,3.53
113,Luderitz,NA,2022-06-07 20:17:32,-26.6481,15.1594,67.84,32,0,5.28
114,Itarema,BR,2022-06-07 20:16:51,-2.9248,-39.9167,78.75,83,99,8.21
115,Saint-Michel-Des-Saints,CA,2022-06-07 20:12:49,46.6834,-73.9159,58.93,70,100,12.06
116,Meulaboh,ID,2022-06-07 20:17:33,4.1363,96.1285,77.54,84,100,4.23
117,Camapua,BR,2022-06-07 20:17:33,-19.5314,-54.0439,86.41,35,92,7.63
118,Petrov Val,RU,2022-06-07 20:17:33,50.1434,45.2096,56.86,75,13,7.9
119,Arkansas City,US,2022-06-07 20:14:48,37.062,-97.0384,87.42,48,0,4.0
120,Pilar,BR,2022-06-07 20:17:34,-9.5972,-35.9567,73.33,93,24,5.32
121,Kieta,PG,2022-06-07 20:17:34,-6.2167,155.6333,76.93,90,100,3.2
122,Eravur,LK,2022-06-07 20:17:34,7.7733,81.6095,80.55,67,100,3.29
123,Wenling,CN,2022-06-07 20:17:35,28.3669,121.36,67.5,91,86,3.67
124,Hualmay,PE,2022-06-07 20:17:35,-11.0964,-77.6139,69.04,72,11,9.98
125,Ukiah,US,2022-06-07 20:13:29,39.1502,-123.2078,84.36,39,0,3.44
126,Santa Rosa,PH,2022-06-07 20:16:20,14.3122,121.1114,82.38,81,97,5.55
127,Kodiak,US,2022-06-07 20:17:36,57.79,-152.4072,51.31,87,100,8.05
