City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,329,abnub,EG,82.62,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
114,331,virginia beach,US,81.05,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
115,334,panaba,MX,87.69,scattered clouds,21.2833,-88.2667,Hotel Don Fernando
116,338,alta floresta,BR,77.38,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
117,339,saint anthony,US,80.76,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
118,342,sabang,ID,82.38,overcast clouds,5.8933,95.3214,Hotel Citra
119,349,geneva,US,73.85,clear sky,41.8875,-88.3054,Best Western Inn Of St. Charles
120,351,tura,IN,74.28,heavy intensity rain,25.5198,90.2201,Hotel RIKMAN Continental
121,354,kirakira,SB,84.43,scattered clouds,-10.4544,161.9205,SanBiz Lodge
122,355,aksu,CN,79.03,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
123,356,thaton,MM,77.4,overcast clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
124,359,ishigaki,JP,84.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
125,360,kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
126,361,kashan,IR,85.59,clear sky,33.9831,51.4364,Manouchehri Traditional House
127,362,concepcion del oro,MX,79.57,few clouds,24.6333,-101.4167,Hotel Hacienda San Javier
128,364,buala,SB,84.51,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
129,365,lhokseumawe,ID,76.95,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
130,371,aklera,IN,85.66,overcast clouds,24.4167,76.5667,"hotel sangam palace - Best Ac Hotels, Budget Hotels, Top Hotels"
131,374,san cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
132,377,karaton,ID,74.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
133,378,rapid valley,US,82.44,scattered clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
134,380,meulaboh,ID,75.97,overcast clouds,4.1363,96.1285,Kost Pria
135,381,dongying,CN,76.51,clear sky,37.4564,118.4856,Wanda Realm
136,382,savalou,BJ,74.95,overcast clouds,7.9281,1.9756,Hotel F&F
137,385,maiduguri,NG,86.27,scattered clouds,11.8464,13.1603,Kagel Mari Police Station
138,388,kemptville,CA,73.36,scattered clouds,45.0168,-75.641,Kemptville Suites by Rob Thompson Hotels
139,391,ibra,OM,77.77,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
